,user,item,rating,timestamp,split
0,1,1,5,874965758,train
1,1,2,3,876893171,train
2,1,3,4,878542960,train
3,1,4,3,876893119,train
4,1,5,3,889751712,train
5,1,7,4,875071561,train
6,1,8,1,875072484,train
7,1,9,5,878543541,train
8,1,11,2,875072262,train
9,1,13,5,875071805,train
10,1,15,5,875071608,train
11,1,16,5,878543541,train
12,1,18,4,887432020,train
13,1,19,5,875071515,train
14,1,21,1,878542772,train
15,1,22,4,875072404,train
16,1,25,4,875071805,train
17,1,26,3,875072442,train
18,1,28,4,875072173,train
19,1,29,1,878542869,train
20,1,30,3,878542515,train
21,1,32,5,888732909,train
22,1,34,2,878542869,train
24,1,37,2,878543030,train
25,1,38,3,878543075,train
26,1,40,3,876893230,train
27,1,41,2,876892818,train
28,1,42,5,876892425,train
29,1,43,4,878542869,train
30,1,45,5,875241687,train
31,1,46,4,876893230,train
32,1,48,5,875072520,train
33,1,50,5,874965954,train
34,1,52,4,875072205,train
36,1,57,5,878542459,train
37,1,58,4,878542960,train
38,1,59,5,876892817,train
39,1,63,2,878543196,train
40,1,66,4,878543030,train
41,1,68,4,875072688,train
42,1,71,3,876892425,train
43,1,75,4,878543238,train
44,1,77,4,876893205,train
45,1,79,4,875072865,train
46,1,83,3,875072370,train
47,1,87,5,878543541,train
48,1,88,4,878542791,train
49,1,89,5,875072484,train
50,1,93,5,875071484,train
51,1,94,2,875072956,train
52,1,95,4,875072303,train
53,1,99,3,875072547,train
54,1,101,2,878542845,train
55,1,105,2,875240739,train
56,1,106,4,875241390,train
57,1,109,5,874965739,train
58,1,110,1,878542845,train
59,1,111,5,889751711,train
61,1,116,3,878542960,train
62,1,119,5,876893098,train
63,1,122,3,875241498,train
64,1,123,4,875071541,train
65,1,124,5,875071484,train
66,1,126,2,875071713,train
67,1,127,5,874965706,train
68,1,131,1,878542552,train
69,1,133,4,876892818,train
70,1,135,4,875072404,train
71,1,136,3,876893206,train
72,1,137,5,875071541,train
73,1,138,1,878543006,train
75,1,141,3,878542608,train
76,1,142,2,878543238,train
77,1,144,4,875073180,train
78,1,146,4,875071561,train
79,1,147,3,875240993,train
80,1,149,2,878542791,train
81,1,152,5,878542589,train
82,1,153,3,876893230,train
83,1,156,4,874965556,train
84,1,158,3,878542699,train
85,1,162,4,878542420,train
86,1,165,5,874965518,train
87,1,166,5,874965677,train
88,1,167,2,878542383,train
89,1,168,5,874965478,train
90,1,169,5,878543541,train
91,1,172,5,874965478,train
92,1,173,5,878541803,train
93,1,176,5,876892468,train
94,1,178,5,878543541,train
95,1,179,3,875072370,train
96,1,181,5,874965739,train
97,1,182,4,875072520,train
98,1,187,4,874965678,train
99,1,191,5,875072956,train
100,1,192,4,875072547,train
101,1,194,4,876892743,train
102,1,195,5,876892855,train
103,1,197,5,875072956,train
104,1,198,5,878542717,train
105,1,199,4,875072262,train
106,1,203,4,878542231,train
107,1,204,5,875072688,train
108,1,205,3,878542909,train
109,1,207,5,875073067,train
110,1,211,3,878541970,train
111,1,216,5,876892701,train
112,1,217,3,876892676,train
113,1,220,3,875241390,train
114,1,223,5,876892918,train
115,1,231,1,876893031,train
116,1,234,4,876892355,train
117,1,237,2,875071749,train
118,1,238,4,875072235,train
119,1,239,4,878542845,train
121,1,244,2,887431973,train
122,1,245,2,875071713,train
123,1,246,5,874965905,train
124,1,247,1,875241619,train
125,1,249,4,874965970,train
126,1,251,4,875071843,train
128,1,257,4,874965954,train
129,1,261,1,875692992,train
130,1,263,1,875693007,train
131,1,268,5,875692927,train
132,1,269,5,877482427,train
133,1,270,5,888732827,train
134,1,271,2,887431672,train
135,2,1,4,888550871,train
136,2,10,2,888551853,train
138,2,25,4,888551648,train
139,2,100,5,888552084,train
140,2,111,4,888551853,train
141,2,127,5,888552084,train
142,2,237,4,888552017,train
143,2,242,5,888552084,train
144,2,255,4,888551341,train
145,2,258,3,888549961,train
146,2,269,4,888550774,train
147,2,272,5,888979061,train
148,2,273,4,888551647,train
149,2,274,3,888551497,train
150,2,275,5,888550939,train
151,2,276,4,888551552,train
152,2,277,4,888551174,train
153,2,278,3,888551647,train
154,2,282,4,888551922,train
156,2,284,4,888552017,train
157,2,285,5,888552084,train
158,2,286,4,888549960,train
159,2,287,3,888551235,train
160,2,288,3,888550252,train
161,2,289,3,888979353,train
162,2,291,3,888551647,train
163,2,293,4,888550939,train
164,2,294,1,888551648,train
165,2,295,4,888551164,train
167,2,300,4,888979197,train
168,2,302,5,888552084,train
169,2,304,4,888979197,train
170,2,305,3,888550065,train
172,2,309,1,888980029,train
173,2,310,4,888979061,train
174,2,311,5,888552084,train
175,3,181,4,889237482,train
176,3,258,2,889237026,train
177,3,260,4,889237455,train
178,3,268,3,889236961,train
179,3,271,3,889237224,train
180,3,288,2,889237026,train
181,3,302,2,889236939,train
182,3,303,3,889236983,train
183,3,317,2,889237482,train
184,3,319,2,889237026,train
185,3,320,5,889237482,train
186,3,321,5,889237455,train
187,3,322,3,889237269,train
188,3,325,1,889237297,train
189,3,326,2,889237224,train
190,3,329,4,889237455,train
191,3,333,2,889236939,train
192,3,336,1,889237198,train
193,3,338,2,889237297,train
194,3,339,3,889237141,train
195,3,340,5,889237455,train
196,3,342,4,889237174,train
197,3,344,4,889236939,train
198,3,346,5,889237455,train
199,3,347,5,889237455,train
200,3,352,2,889237055,train
201,3,353,1,889237122,train
202,3,355,3,889237247,train
203,4,11,4,892004520,train
204,4,210,3,892003374,train
205,4,258,5,892001374,train
206,4,271,4,892001690,train
207,4,300,5,892001445,train
208,4,301,5,892002353,train
209,4,324,5,892002353,train
210,4,327,5,892002352,train
211,4,328,3,892001537,train
212,4,329,5,892002352,train
213,4,358,2,892004275,train
214,4,359,5,892002352,train
215,4,360,5,892002352,train
216,4,362,5,892002352,train
217,5,21,3,875635327,train
218,5,25,3,875635318,train
219,5,29,4,875637023,train
220,5,50,4,875635758,train
221,5,63,1,878844629,train
222,5,66,1,875721019,train
223,5,70,4,875636389,train
224,5,95,4,875721168,train
225,5,99,3,875721216,train
226,5,101,5,878844510,train
227,5,105,3,875635443,train
229,5,135,4,875637536,train
230,5,145,1,875720830,train
232,5,162,1,875721572,train
233,5,163,5,879197864,train
234,5,168,3,875636691,train
235,5,169,5,878844495,train
236,5,172,5,875636130,train
237,5,174,5,875636130,train
238,5,181,5,875635757,train
239,5,183,4,875636014,train
240,5,186,5,875636375,train
241,5,189,5,878844495,train
242,5,194,4,878845197,train
243,5,200,2,875720717,train
244,5,204,4,875636675,train
245,5,208,4,875636675,train
246,5,210,3,875636099,train
247,5,216,1,875720967,train
248,5,226,3,875635962,train
250,5,229,2,875635947,train
251,5,233,4,875729064,train
252,5,235,4,875635384,train
253,5,239,4,875636655,train
254,5,250,3,875635265,train
255,5,257,5,875635239,train
256,5,365,1,875637144,train
257,5,366,3,875637145,train
258,5,367,3,875636281,train
259,5,368,1,875635457,train
260,5,371,1,875720967,train
261,5,373,3,875635907,train
262,5,374,3,875636905,train
263,5,375,3,875637587,train
264,5,378,1,875721167,train
265,5,380,3,875637191,train
266,5,381,1,875636540,train
267,5,383,3,875636588,train
268,5,386,2,875636230,train
269,5,387,3,875637419,train
270,5,390,5,875636340,train
271,5,392,2,875637330,train
272,5,395,2,879198898,train
273,5,396,5,875636265,train
274,5,398,2,875636167,train
275,5,399,3,875635947,train
